Trial 2| ARP = 0.8 ,1    ,2    ,3    ,4    ,5    ,6    ,7    ,8    ,9    ,10   ,11   ,12   ,13   ,14   ,15   ,16   ,17   ,18   ,19   ,20   ,21   ,22   ,23   ,24   ,25   ,26   ,27   ,28   ,29   ,30   ,31   ,32   ,33   ,34   ,35   ,36   ,37   ,38   ,39   ,40   ,41   ,42   ,43   ,44   ,45   ,46  ,47  ,48  ,Alts,Egos,Alt_Freq       ,Ego_freq
35                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,True ,False,False,False,False,True ,False,False,False,False,False,False,True ,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,16  ,19  ,0.457142857143 ,0.542857142857
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,False,False,False,True ,False,False,False,False,False,True ,False,False,False,False,False,False,True ,False,False,True ,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,    ,    ,    ,14  ,25  ,0.358974358974 ,0.641025641026
41                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,False,True ,False,False,False,False,False,False,False,False,True ,False,False,True ,False,False,False,True ,True ,False,False,False,False,False,False,False,True ,False,False,     ,     ,     ,     ,    ,    ,    ,16  ,25  ,0.390243902439 ,0.609756097561
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,True ,False,False,True ,False,False,True ,True ,False,False,False,False,True ,False,True ,True ,True ,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,19  ,18  ,0.513513513514 ,0.486486486486
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,True ,True ,False,False,True ,False,False,False,False,True ,True ,True ,False,False,False,False,False,False,False,False,False,False,True ,False,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,18  ,20  ,0.473684210526 ,0.526315789474
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,False,True ,False,False,False,True ,True ,True ,False,False,False,False,True ,False,True ,True ,False,False,True ,False,False,False,True ,False,     ,     ,     ,     ,     ,     ,    ,    ,    ,22  ,17  ,0.564102564103 ,0.435897435897
36                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,False,True ,True ,True ,True ,False,False,False,False,True ,True ,False,False,True ,False,False,True ,True ,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,22  ,14  ,0.611111111111 ,0.388888888889
40                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,False,True ,True ,False,False,False,True ,False,True ,False,False,True ,True ,False,False,False,True ,True ,False,False,True ,False,False,False,False,False,     ,     ,     ,     ,     ,    ,    ,    ,22  ,18  ,0.55           ,0.45
34                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,False,True ,True ,False,True ,False,False,False,True ,False,False,True ,True ,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,21  ,13  ,0.617647058824 ,0.382352941176
35                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,False,True ,True ,False,False,False,False,False,True ,False,False,False,False,True ,False,False,True ,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,20  ,15  ,0.571428571429 ,0.428571428571
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,True ,False,False,False,True ,False,False,True ,False,False,True ,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,21  ,17  ,0.552631578947 ,0.447368421053
40                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,True ,False,False,False,False,False,False,False,False,False,False,False,True ,False,False,True ,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,    ,    ,    ,17  ,23  ,0.425          ,0.575
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,False,False,False,False,False,False,True ,False,False,False,False,False,False,False,False,False,True ,False,False,False,     ,     ,     ,     ,     ,     ,    ,    ,    ,17  ,22  ,0.435897435897 ,0.564102564103
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,True ,False,False,False,True ,False,False,False,True ,True ,True ,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,20  ,17  ,0.540540540541 ,0.459459459459
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,False,False,False,True ,True ,True ,False,False,False,False,False,True ,True ,True ,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,23  ,14  ,0.621621621622 ,0.378378378378
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,False,False,True ,True ,True ,False,False,False,False,True ,True ,False,False,True ,True ,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,    ,    ,    ,23  ,16  ,0.589743589744 ,0.410256410256
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,True ,False,False,True ,True ,True ,False,False,False,False,False,True ,False,False,True ,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,22  ,15  ,0.594594594595 ,0.405405405405
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,False,False,True ,False,False,False,False,False,False,True ,False,False,False,False,True ,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,    ,    ,    ,18  ,21  ,0.461538461538 ,0.538461538462
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,True ,False,False,False,True ,False,False,False,True ,False,False,False,False,True ,False,True ,False,False,True ,False,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,21  ,16  ,0.567567567568 ,0.432432432432
36                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,True ,False,False,True ,False,False,False,True ,False,True ,True ,True ,False,True ,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,22  ,14  ,0.611111111111 ,0.388888888889
40                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,True ,False,False,True ,False,False,True ,False,True ,True ,True ,True ,False,False,False,True ,False,False,False,False,True ,True ,False,     ,     ,     ,     ,     ,    ,    ,    ,25  ,15  ,0.625          ,0.375
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,True ,False,False,True ,False,False,True ,True ,False,False,False,False,False,True ,True ,False,True ,False,False,False,False,False,True ,False,     ,     ,     ,     ,     ,     ,    ,    ,    ,21  ,18  ,0.538461538462 ,0.461538461538
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,True ,False,False,False,True ,True ,False,False,True ,False,True ,False,False,False,False,False,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,18  ,20  ,0.473684210526 ,0.526315789474
35                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,True ,False,True ,False,False,True ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,14  ,21  ,0.4            ,0.6
41                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,True ,False,False,True ,False,False,False,False,False,False,False,False,False,False,False,False,False,True ,False,False,False,False,False,False,False,False,False,     ,     ,     ,     ,    ,    ,    ,15  ,26  ,0.365853658537 ,0.634146341463
41                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,True ,False,False,True ,False,False,False,False,False,False,False,False,False,True ,False,False,False,False,False,False,False,True ,False,False,False,False,False,False,     ,     ,     ,     ,    ,    ,    ,15  ,26  ,0.365853658537 ,0.634146341463
34                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,False,False,False,False,False,False,True ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,10  ,24  ,0.294117647059 ,0.705882352941
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,True ,False,False,False,False,False,False,False,False,False,False,True ,True ,True ,True ,True ,True ,True ,False,False,False,True ,False,False,False,False,     ,     ,     ,     ,     ,     ,    ,    ,    ,18  ,21  ,0.461538461538 ,0.538461538462
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,True ,False,False,False,False,False,True ,True ,True ,True ,True ,False,False,False,False,False,False,True ,False,False,False,False,False,True ,False,False,False,     ,     ,     ,     ,     ,     ,    ,    ,    ,17  ,22  ,0.435897435897 ,0.564102564103
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,True ,False,False,False,False,True ,True ,True ,True ,False,False,False,True ,False,False,False,False,False,True ,True ,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,17  ,21  ,0.447368421053 ,0.552631578947
