Trial 2| ARP = 1.0 ,1    ,2    ,3    ,4    ,5    ,6    ,7    ,8    ,9    ,10   ,11   ,12   ,13   ,14   ,15   ,16   ,17   ,18   ,19   ,20   ,21   ,22   ,23   ,24   ,25   ,26   ,27   ,28   ,29   ,30   ,31   ,32   ,33   ,34   ,35   ,36   ,37   ,38   ,39   ,40   ,41   ,42   ,43   ,Alts,Egos,Alt_Freq       ,Ego_freq
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,False,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,     ,     ,     ,     ,     ,     ,33  ,4   ,0.891891891892 ,0.108108108108
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,False,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,     ,     ,     ,     ,     ,     ,32  ,5   ,0.864864864865 ,0.135135135135
35                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,29  ,6   ,0.828571428571 ,0.171428571429
35                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,True ,True ,True ,True ,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,28  ,7   ,0.8            ,0.2
35                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,True ,True ,True ,False,False,False,True ,False,False,     ,     ,     ,     ,     ,     ,     ,     ,29  ,6   ,0.828571428571 ,0.171428571429
36                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,True ,True ,False,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,27  ,9   ,0.75           ,0.25
34                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,True ,False,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,26  ,8   ,0.764705882353 ,0.235294117647
36                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,True ,False,False,False,False,True ,True ,True ,True ,True ,     ,     ,     ,     ,     ,     ,     ,31  ,5   ,0.861111111111 ,0.138888888889
40                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,True ,False,False,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,     ,     ,     ,36  ,4   ,0.9            ,0.1
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,True ,False,True ,True ,True ,True ,True ,True ,True ,False,True ,False,False,     ,     ,     ,     ,34  ,5   ,0.871794871795 ,0.128205128205
32                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,29  ,3   ,0.90625        ,0.09375
31                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,25  ,6   ,0.806451612903 ,0.193548387097
33                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,False,True ,True ,True ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,28  ,5   ,0.848484848485 ,0.151515151515
33                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,True ,True ,True ,False,True ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,29  ,4   ,0.878787878788 ,0.121212121212
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,True ,False,True ,True ,True ,False,True ,False,     ,     ,     ,     ,     ,     ,32  ,5   ,0.864864864865 ,0.135135135135
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,True ,True ,True ,True ,False,True ,True ,False,     ,     ,     ,     ,     ,     ,33  ,4   ,0.891891891892 ,0.108108108108
38                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,True ,True ,True ,True ,True ,False,True ,True ,False,False,False,     ,     ,     ,     ,     ,33  ,5   ,0.868421052632 ,0.131578947368
35                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,True ,False,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,29  ,6   ,0.828571428571 ,0.171428571429
39                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,True ,True ,True ,True ,True ,False,False,     ,     ,     ,     ,34  ,5   ,0.871794871795 ,0.128205128205
36                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,True ,False,False,     ,     ,     ,     ,     ,     ,     ,32  ,4   ,0.888888888889 ,0.111111111111
37                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,True ,False,False,True ,     ,     ,     ,     ,     ,     ,33  ,4   ,0.891891891892 ,0.108108108108
34                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,True ,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,29  ,5   ,0.852941176471 ,0.147058823529
29                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,False,False,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,25  ,4   ,0.862068965517 ,0.137931034483
36                 ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,True ,False,False,True ,True ,True ,True ,True ,True ,True ,True ,False,     ,     ,     ,     ,     ,     ,     ,33  ,3   ,0.916666666667 ,0.0833333333333
